Game,Total Day,Spawn Rate,Player 1,Player 2,Player 3,Player 4,Player 1 Final Score,Player 2 Final Score,Player 3 Final Score,Player 4 Final Score,Player 1 Day of Timeout,Player 2 Day of Timeout,Player 3 Day of Timeout,Player 4 Day of Timeout
1,50,1,1,5,3,8,129216,121418,128516,120112,,,,
2,50,1,2,6,4,7,127653,122511,123514,125717,,,,
3,50,1,1,4,5,8,126926,126487,125908,119944,,,,
4,50,1,7,6,3,2,125773,122438,123402,127357,,,,
5,50,1,8,5,7,1,119322,121286,129767,128805,,,,
6,50,1,6,3,4,2,121597,125249,123959,128497,,,,
7,50,1,6,8,2,1,127726,119114,128079,124325,,,,
8,50,1,3,4,7,5,127767,124110,127151,120343,,,,
9,50,1,1,6,5,8,126671,123156,126235,123166,,,,
10,50,1,2,4,3,7,127304,123195,121732,127126,,,,
11,50,2,1,4,8,5,130584,125624,120599,122401,,,,
12,50,2,6,7,3,2,118997,128908,121287,130233,,,,
13,50,2,8,7,5,1,118409,130229,120385,130040,,,,
14,50,2,6,4,3,2,121980,125955,121135,129997,,,,
15,50,2,6,3,5,1,122442,127407,122386,127074,,,,
16,50,2,2,4,7,8,129884,119605,131332,118472,,,,
17,50,2,1,5,3,7,124936,121582,124864,127949,,,,
18,50,2,2,6,4,8,129109,122208,129028,118869,,,,
19,50,2,1,3,5,8,126977,121603,127693,122762,,,,
20,50,2,7,6,4,2,126140,122828,123768,125922,,,,
21,50,5,5,7,3,1,121711,127304,120653,129186,,,,
22,50,5,6,8,4,2,122983,124508,122394,129148,,,,
23,50,5,7,2,5,1,125261,126445,120233,126634,,,,
24,50,5,3,6,4,8,123676,124916,127338,123285,,,,
25,50,5,1,3,4,6,129480,124023,125480,120399,,,,
26,50,5,2,5,7,8,127923,120393,130031,120543,,,,
27,50,5,1,4,2,8,128317,121199,131198,118481,,,,
28,50,5,7,5,6,3,127230,124154,124768,122719,,,,
29,50,5,7,5,6,1,125463,124144,122199,127182,,,,
30,50,5,8,3,4,2,120605,124512,122838,130905,,,,
31,50,10,4,7,3,1,119896,126819,124221,128153,,,,
32,50,10,2,5,8,6,126968,125832,124046,122294,,,,
33,50,10,1,2,8,4,126292,130163,123946,118376,,,,
34,50,10,3,5,7,6,125239,123517,126393,123486,,,,
35,50,10,1,3,4,8,125833,127741,122967,122325,,,,
36,50,10,7,6,5,2,124645,123848,124898,125338,,,,
37,50,10,7,4,5,1,128810,121277,123173,125632,,,,
38,50,10,8,3,6,2,121540,123879,124042,129693,,,,
39,50,10,6,4,2,1,127838,121082,125491,124344,,,,
40,50,10,3,5,7,8,124247,123305,128558,122732,,,,
41,50,20,1,3,7,6,123409,123975,124979,126037,,,,
42,50,20,2,4,8,5,128926,123290,124034,122159,,,,
43,50,20,1,4,3,8,122891,121261,129604,125186,,,,
44,50,20,7,5,6,2,124302,124169,125045,125058,,,,
45,50,20,8,4,7,1,125247,118533,130184,124388,,,,
46,50,20,6,3,5,2,124386,124996,125004,125586,,,,
47,50,20,5,7,4,1,125807,126253,119832,127258,,,,
48,50,20,2,3,8,6,125544,127628,123767,122331,,,,
49,50,20,1,3,8,7,123452,127820,123065,124763,,,,
50,50,20,2,4,6,5,124945,121070,128531,125015,,,,
51,100,1,1,3,6,5,256208,268657,234369,237722,,,,
52,100,1,7,8,4,2,277453,201736,281264,235563,,94,,
53,100,1,6,5,2,1,238286,230162,282898,245735,,,,
54,100,1,8,7,4,3,202854,295650,262888,235130,90,,,
55,100,1,6,4,5,1,236291,311331,198976,250210,,,,
56,100,1,2,7,3,8,251257,265945,279092,200505,,,,94
57,100,1,1,3,8,6,238000,300228,212972,246090,,,94,
58,100,1,2,4,7,5,255586,252152,293629,195419,,,,
59,100,1,1,6,2,7,244382,235208,244451,273005,,,,
60,100,1,8,4,5,3,209925,303334,209419,274876,90,,,
61,100,2,7,8,6,1,284086,213367,261939,237404,,,,
62,100,2,4,5,3,2,293738,207716,248875,246778,,,,
63,100,2,5,8,3,1,246431,217331,276959,257016,,,,
64,100,2,2,4,7,6,252279,252165,257482,234862,,,,
65,100,2,1,4,6,8,247047,274008,265868,210107,,,,
66,100,2,2,3,5,7,242253,279231,208290,267468,,,,
67,100,2,1,4,3,5,278780,259553,242234,216470,,,,
68,100,2,8,6,7,2,206463,244276,264553,281419,,,,
69,100,2,7,4,6,1,265410,262448,222058,246450,,,,
70,100,2,8,3,5,2,193739,285654,215373,302835,,,,
71,100,5,3,6,2,1,257093,249894,256971,233878,,,,
72,100,5,4,5,8,7,233162,250607,265352,247938,,,,
73,100,5,1,3,4,5,286891,260540,226646,223348,,,,
74,100,5,2,6,7,8,269839,202283,310441,214859,,,,
75,100,5,1,2,4,8,269828,234256,304195,188843,,,,
76,100,5,7,6,5,3,281999,256490,244585,213962,,,,
77,100,5,7,5,4,1,279234,239056,238698,239553,,,,
78,100,5,8,6,3,2,205657,278895,248113,264947,,,,
79,100,5,8,7,3,1,195793,293186,230846,277887,,,,
80,100,5,2,4,5,6,241428,273511,244404,238095,,,,
81,100,10,1,5,4,8,265900,239047,293901,199241,,,,
82,100,10,2,6,3,7,249026,228215,244598,276140,,,,
83,100,10,1,2,3,6,286363,247225,239880,224483,,,,
84,100,10,8,7,5,4,186901,301255,240587,268858,,,,
85,100,10,7,8,4,1,268031,219719,281465,228282,,,,
86,100,10,5,6,3,2,236924,263061,281378,216722,,,,
87,100,10,7,6,2,1,277381,247661,250037,222069,,,,
88,100,10,3,4,5,8,261385,258966,253254,223911,,,,
89,100,10,1,3,5,4,258308,257317,234253,247510,,,,
90,100,10,2,6,8,7,253033,255482,232573,256522,,,,
91,100,20,1,5,8,7,238315,267630,246050,245931,,,,
92,100,20,4,6,3,2,263336,237322,262422,234885,,,,
93,100,20,8,2,6,1,244409,264340,227685,261823,,,,
94,100,20,7,4,5,3,273053,253036,237493,233400,,,,
95,100,20,5,4,2,1,240569,292544,220372,244471,,,,
96,100,20,3,6,7,8,247668,242564,283523,223565,,,,
97,100,20,1,5,6,7,242494,239937,259674,256490,,,,
98,100,20,2,3,4,8,242235,252346,268682,234936,,,,
